komentar_asli,komentar_bersih
terima banyak kakakğŸ™,terima banyak kakak
maaf bang sebelumnya itu bukan soal pm tapi itu soal bagian dari puğŸ™ğŸ™,maaf bang belum bukan soal pm itu soal bagi pu
"Dengan anda men subscribe youtuber pemula, anda tidak sedang menafkahi Raffi Ahmad untuk membeli mobil baru lagi",men subscribe youtuber mula anda tidak sedang nafkah raffi ahmad beli mobil baru
terimakasih banyak kak sgt membantu ğŸ‘ğŸ»ğŸ‘ğŸ»,terimakasih banyak kak sgt bantu
kak kalau bisa sering2 bahas kek gini kakğŸ˜­ğŸ™ğŸ»ğŸ™ğŸ»ğŸ™ğŸ»,kak kalau sering bahas kek gin kak
"kak, biasanya soal pm dari tahun ke tahun mirip kah?",kak biasa soal pm tahun tahun mirip
Terima kasih kembali,terima kasih
"Di ruang guru tercatat itu materi PM, Aku hanya menyampaikan apa yang telah diriset oleh platform terpercaya, tapi kalau misalkan materi itu masuk ke PU, Y masih bermanfaat buat nambah nilai PU kalian juga",ruang guru catat materi pm aku sampai apa telah riset platform percaya kalau misal materi masuk pu y manfaat buat nambah nilai pu kalian
Thanks kak â¤,thanks kak
"Thanks, aku bakal bahas lagi kok habis ini, stay tuned y",thanks aku bakal bahas kok habis stay tuned y
Okeh,okeh
"Kalau mirip sampai plek ketiplek itu gak ada, tapi kalau sama secara teori dan materi itu pasti ada. Kayak misalkan yang saya bahas itu tentang peluang, insyaallah next bakal ada soal peluang tapi y gak sampai plek ketiplek sama, cuma mungkin rumus secara umum bakal sama. Nanti soalnya maybe bakal di modifikasi lagi sama panitia nya",kalau mirip plek ketiplek gak kalau sama teori materi pasti kayak misal saya bahas tentang peluang insyaallah next bakal soal peluang tapi y gak plek ketiplek sama cuma mungkin rumus umum bakal sama soal maybe bakal modifikasi sama panitia nya
"kalau gitu mungkin ada bagusnya, secepatnya bikin video khusus utk materi PM yg sering keluar kak. soalnya ini waktunya mepet dan akunya masih bingung mau mulai bagaimanaâ€‹Â @icaldisini7Â ",kalau gitu mungkin bagus cepat bikin video khusus utk materi pm yg sering keluar kak soal waktu mepet aku bingung mau mulai bagaimana icaldisini
"sama btw, aku mau ngasih tau kakaknya mengenai pernyataan KK tentang gelombang pelaksanaan snbt divideo sebelumnya. 
jadi sekarang itu udh nggak 2 gelombang kakğŸ˜ğŸ™ğŸ»ğŸ™ğŸ»",sama btw aku mau ngasih tau kakak kena nyata kk gelombang laksana snbt video belum jadi sekarang udh gelombang kak
"Â @muhammadfadiljuliansyah7778Â iya itu udah aku klarifikasi kok di coment vidio sebelumnya kalau untuk tahun ini cuma ada 1 gelombang saja, semangat y",muhammadfadiljuliansyah iya udah aku klarifikasi kok coment vidio belum kalau tahun cuma gelombang semangat y
"Â @muhammadfadiljuliansyah7778Â itu sekarang yang saya sampaikan perkiraan bakal ada yang keluar kok, dulu aku juga ada soal peluang, kurleb y kayak begitu, tapi mungkin besok soalnya pasti dimodifikasi",muhammadfadiljuliansyah sekarang saya sampai kira bakal yang keluar kok dulu aku ada soal peluang kurleb y kayak tapi mungkin besok soal modifikasi
Â @icaldisini7Â  siap kak,icaldisini siap kak
